,Grupes,Treatment,Value
1,DCBLD2,DMSO,0
2,PDGFRB,DMSO,0.86530183
3,A_WT,DMSO,0.52830461
4,A_D842V,DMSO,0.55969396
5,DCBLD2,DMSO,0.03473417
6,PDGFRB,DMSO,0.46068537
7,A_WT,DMSO,0.10906884
8,A_D842V,DMSO,0.33137321
9,DCBLD2,DMSO,0
10,PDGFRB,DMSO,0.21175589
11,A_WT,DMSO,0.1925685
12,A_D842V,DMSO,0.42641929
13,DCBLD2,STI571,0
14,PDGFRB,STI571,0.15514679
15,A_WT,STI571,0.02803892
16,A_D842V,STI571,0.49241609
17,DCBLD2,STI571,0.03473417
18,PDGFRB,STI571,0.06884978
19,A_WT,STI571,0.02966861
20,A_D842V,STI571,0.18186936
21,DCBLD2,STI571,0
22,PDGFRB,STI571,0
23,A_WT,STI571,0
24,A_D842V,STI571,0.31876024
